id,group_id,stage,event_type,target,created_at
event-00050,group-03,2,stage.submission_save,stage-2,2026-01-01T12:20:41+00:00
event-00051,group-03,2,agent.help_click,stage-2,2026-01-01T12:23:20+00:00
event-00052,group-03,2,stage.submission_save,stage-2,2026-01-01T12:24:18+00:00
event-00053,group-03,2,stage.submission_save,stage-2,2026-01-01T12:28:27+00:00
event-00054,group-03,3,agent.help_click,stage-3,2026-01-01T12:34:29+00:00
event-00055,group-03,3,agent.help_click,stage-3,2026-01-01T12:37:54+00:00
event-00056,group-03,3,agent.help_click,stage-3,2026-01-01T12:40:36+00:00
event-00057,group-03,3,stage.submission_save,stage-3,2026-01-01T12:44:56+00:00
event-00058,group-03,3,stage.submission_save,stage-3,2026-01-01T12:51:26+00:00
event-00059,group-03,4,agent.help_click,stage-4,2026-01-01T12:53:09+00:00
event-00060,group-03,4,agent.help_click,stage-4,2026-01-01T12:57:39+00:00
event-00061,group-03,4,stage.submission_save,stage-4,2026-01-01T13:03:01+00:00
event-00062,group-03,4,stage.submission_save,stage-4,2026-01-01T13:04:26+00:00
event-00063,group-03,5,agent.help_click,stage-5,2026-01-01T13:07:38+00:00
event-00064,group-03,5,stage.submission_save,stage-5,2026-01-01T13:10:18+00:00
event-00065,group-03,5,stage.submission_save,stage-5,2026-01-01T13:12:17+00:00
event-00066,group-03,5,stage.submission_save,stage-5,2026-01-01T13:16:06+00:00
event-00067,group-03,6,stage.submission_save,stage-6,2026-01-01T13:18:40+00:00
event-00068,group-03,6,stage.submission_save,stage-6,2026-01-01T13:20:21+00:00
event-00069,group-03,6,stage.submission_save,stage-6,2026-01-01T13:24:38+00:00
event-00070,group-03,6,stage.submission_save,stage-6,2026-01-01T13:30:34+00:00
event-00071,group-04,0,stage.submission_save,stage-0,2026-01-01T13:31:55+00:00
event-00072,group-04,0,stage.submission_save,stage-0,2026-01-01T13:37:20+00:00
event-00073,group-04,0,stage.submission_save,stage-0,2026-01-01T13:43:37+00:00
event-00074,group-04,0,agent.help_click,stage-0,2026-01-01T13:45:01+00:00
event-00075,group-04,1,agent.help_click,stage-1,2026-01-01T13:51:36+00:00
event-00076,group-04,1,stage.submission_save,stage-1,2026-01-01T13:52:33+00:00
event-00077,group-04,1,stage.submission_save,stage-1,2026-01-01T13:53:45+00:00
event-00078,group-04,1,stage.submission_save,stage-1,2026-01-01T13:59:52+00:00
event-00079,group-04,2,stage.submission_save,stage-2,2026-01-01T14:02:25+00:00
event-00080,group-04,2,agent.help_click,stage-2,2026-01-01T14:04:24+00:00
event-00081,group-04,2,stage.submission_save,stage-2,2026-01-01T14:07:14+00:00
event-00082,group-04,2,stage.submission_save,stage-2,2026-01-01T14:10:49+00:00
event-00083,group-04,3,stage.submission_save,stage-3,2026-01-01T14:17:20+00:00
event-00084,group-04,3,agent.help_click,stage-3,2026-01-01T14:18:45+00:00
event-00085,group-04,3,stage.submission_save,stage-3,2026-01-01T14:23:59+00:00
event-00086,group-04,4,stage.submission_save,stage-4,2026-01-01T14:28:27+00:00
event-00087,group-04,4,stage.submission_save,stage-4,2026-01-01T14:34:09+00:00
event-00088,group-04,4,stage.submission_save,stage-4,2026-01-01T14:39:25+00:00
event-00089,group-04,4,agent.help_click,stage-4,2026-01-01T14:40:50+00:00
event-00090,group-04,5,agent.help_click,stage-5,2026-01-01T14:47:10+00:00
event-00091,group-04,5,agent.help_click,stage-5,2026-01-01T14:53:02+00:00
event-00092,group-04,5,agent.help_click,stage-5,2026-01-01T14:57:09+00:00
event-00093,group-04,5,agent.help_click,stage-5,2026-01-01T15:00:14+00:00
event-00094,group-04,6,agent.help_click,stage-6,2026-01-01T15:01:57+00:00
event-00095,group-04,6,agent.help_click,stage-6,2026-01-01T15:04:00+00:00
event-00096,group-04,6,agent.help_click,stage-6,2026-01-01T15:06:58+00:00
event-00097,group-05,0,agent.help_click,stage-0,2026-01-01T15:10:53+00:00
event-00098,group-05,0,agent.help_click,stage-0,2026-01-01T15:14:19+00:00
event-00099,group-05,0,stage.submission_save,stage-0,2026-01-01T15:18:29+00:00
event-00100,group-05,0,stage.submission_save,stage-0,2026-01-01T15:22:32+00:00
event-00101,group-05,1,agent.help_click,stage-1,2026-01-01T15:24:58+00:00
event-00102,group-05,1,agent.help_click,stage-1,2026-01-01T15:30:45+00:00
event-00103,group-05,1,agent.help_click,stage-1,2026-01-01T15:36:53+00:00
event-00104,group-05,2,agent.help_click,stage-2,2026-01-01T15:40:51+00:00
event-00105,group-05,2,agent.help_click,stage-2,2026-01-01T15:44:57+00:00
event-00106,group-05,2,agent.help_click,stage-2,2026-01-01T15:49:53+00:00
event-00107,group-05,3,agent.help_click,stage-3,2026-01-01T15:54:09+00:00
event-00108,group-05,3,agent.help_click,stage-3,2026-01-01T15:55:47+00:00
event-00109,group-05,3,stage.submission_save,stage-3,2026-01-01T16:00:03+00:00
event-00110,group-05,4,stage.submission_save,stage-4,2026-01-01T16:00:58+00:00
event-00111,group-05,4,stage.submission_save,stage-4,2026-01-01T16:01:45+00:00
event-00112,group-05,4,stage.submission_save,stage-4,2026-01-01T16:06:11+00:00
event-00113,group-05,5,agent.help_click,stage-5,2026-01-01T16:07:37+00:00
event-00114,group-05,5,agent.help_click,stage-5,2026-01-01T16:09:31+00:00
event-00115,group-05,5,agent.help_click,stage-5,2026-01-01T16:15:35+00:00
event-00116,group-05,6,agent.help_click,stage-6,2026-01-01T16:17:00+00:00
event-00117,group-05,6,stage.submission_save,stage-6,2026-01-01T16:23:39+00:00
event-00118,group-05,6,stage.submission_save,stage-6,2026-01-01T16:24:32+00:00
event-00119,group-06,0,stage.submission_save,stage-0,2026-01-01T16:25:32+00:00
event-00120,group-06,0,stage.submission_save,stage-0,2026-01-01T16:29:58+00:00
event-00121,group-06,0,agent.help_click,stage-0,2026-01-01T16:33:55+00:00
event-00122,group-06,1,agent.help_click,stage-1,2026-01-01T16:37:04+00:00
event-00123,group-06,1,stage.submission_save,stage-1,2026-01-01T16:40:14+00:00
event-00124,group-06,1,agent.help_click,stage-1,2026-01-01T16:43:20+00:00
event-00125,group-06,2,stage.submission_save,stage-2,2026-01-01T16:46:33+00:00
event-00126,group-06,2,stage.submission_save,stage-2,2026-01-01T16:49:48+00:00
event-00127,group-06,2,stage.submission_save,stage-2,2026-01-01T16:55:55+00:00
event-00128,group-06,3,agent.help_click,stage-3,2026-01-01T17:00:06+00:00
event-00129,group-06,3,agent.help_click,stage-3,2026-01-01T17:01:22+00:00
event-00130,group-06,3,stage.submission_save,stage-3,2026-01-01T17:07:14+00:00
event-00131,group-06,4,agent.help_click,stage-4,2026-01-01T17:13:00+00:00
event-00132,group-06,4,stage.submission_save,stage-4,2026-01-01T17:16:39+00:00
event-00133,group-06,4,stage.submission_save,stage-4,2026-01-01T17:17:32+00:00
event-00134,group-06,5,stage.submission_save,stage-5,2026-01-01T17:24:08+00:00
event-00135,group-06,5,stage.submission_save,stage-5,2026-01-01T17:26:50+00:00
event-00136,group-06,5,agent.help_click,stage-5,2026-01-01T17:32:37+00:00
event-00137,group-06,6,stage.submission_save,stage-6,2026-01-01T17:35:09+00:00
event-00138,group-06,6,agent.help_click,stage-6,2026-01-01T17:37:30+00:00
event-00139,group-07,0,stage.submission_save,stage-0,2026-01-01T17:43:57+00:00
event-00140,group-07,0,stage.submission_save,stage-0,2026-01-01T17:49:39+00:00
event-00141,group-07,0,agent.help_click,stage-0,2026-01-01T17:55:07+00:00
event-00142,group-07,0,stage.submission_save,stage-0,2026-01-01T17:59:36+00:00
event-00143,group-07,1,stage.submission_save,stage-1,2026-01-01T18:04:30+00:00
event-00144,group-07,1,stage.submission_save,stage-1,2026-01-01T18:07:34+00:00
event-00145,group-07,1,agent.help_click,stage-1,2026-01-01T18:13:09+00:00
event-00146,group-07,1,stage.submission_save,stage-1,2026-01-01T18:15:32+00:00
event-00147,group-07,2,agent.help_click,stage-2,2026-01-01T18:19:05+00:00
event-00148,group-07,2,agent.help_click,stage-2,2026-01-01T18:21:02+00:00
event-00149,group-07,2,agent.help_click,stage-2,2026-01-01T18:27:34+00:00
event-00150,group-07,2,stage.submission_save,stage-2,2026-01-01T18:31:23+00:00
event-00151,group-07,3,agent.help_click,stage-3,2026-01-01T18:37:33+00:00
event-00152,group-07,3,stage.submission_save,stage-3,2026-01-01T18:41:36+00:00
event-00153,group-07,3,agent.help_click,stage-3,2026-01-01T18:43:11+00:00
event-00154,group-07,4,agent.help_click,stage-4,2026-01-01T18:47:54+00:00
event-00155,group-07,4,agent.help_click,stage-4,2026-01-01T18:48:51+00:00
event-00156,group-07,4,agent.help_click,stage-4,2026-01-01T18:50:48+00:00
event-00157,group-07,4,agent.help_click,stage-4,2026-01-01T18:55:45+00:00
event-00158,group-07,5,stage.submission_save,stage-5,2026-01-01T18:59:59+00:00
event-00159,group-07,5,stage.submission_save,stage-5,2026-01-01T19:01:35+00:00
event-00160,group-07,5,agent.help_click,stage-5,2026-01-01T19:05:17+00:00
event-00161,group-07,5,stage.submission_save,stage-5,2026-01-01T19:08:23+00:00
event-00162,group-07,6,stage.submission_save,stage-6,2026-01-01T19:10:21+00:00
event-00163,group-07,6,agent.help_click,stage-6,2026-01-01T19:12:40+00:00
event-00164,group-07,6,stage.submission_save,stage-6,2026-01-01T19:16:02+00:00
event-00165,group-08,0,stage.submission_save,stage-0,2026-01-01T19:19:15+00:00
event-00166,group-08,0,agent.help_click,stage-0,2026-01-01T19:24:25+00:00
event-00167,group-08,0,agent.help_click,stage-0,2026-01-01T19:25:38+00:00
event-00168,group-08,0,agent.help_click,stage-0,2026-01-01T19:31:24+00:00
event-00169,group-08,0,agent.help_click,stage-0,2026-01-01T19:32:54+00:00
event-00170,group-08,1,stage.submission_save,stage-1,2026-01-01T19:36:31+00:00
event-00171,group-08,1,stage.submission_save,stage-1,2026-01-01T19:38:15+00:00
event-00172,group-08,1,agent.help_click,stage-1,2026-01-01T19:40:27+00:00
event-00173,group-08,1,stage.submission_save,stage-1,2026-01-01T19:46:25+00:00
event-00174,group-08,2,stage.submission_save,stage-2,2026-01-01T19:52:28+00:00
event-00175,group-08,2,agent.help_click,stage-2,2026-01-01T19:58:56+00:00
event-00176,group-08,2,stage.submission_save,stage-2,2026-01-01T20:03:10+00:00
event-00177,group-08,2,agent.help_click,stage-2,2026-01-01T20:06:37+00:00
event-00178,group-08,3,stage.submission_save,stage-3,2026-01-01T20:10:04+00:00
event-00179,group-08,3,agent.help_click,stage-3,2026-01-01T20:16:24+00:00
event-00180,group-08,3,agent.help_click,stage-3,2026-01-01T20:21:38+00:00
event-00181,group-08,3,stage.submission_save,stage-3,2026-01-01T20:26:46+00:00
event-00182,group-08,3,stage.submission_save,stage-3,2026-01-01T20:32:13+00:00
event-00183,group-08,4,stage.submission_save,stage-4,2026-01-01T20:38:16+00:00
event-00184,group-08,4,agent.help_click,stage-4,2026-01-01T20:39:10+00:00
event-00185,group-08,4,stage.submission_save,stage-4,2026-01-01T20:45:48+00:00
event-00186,group-08,4,agent.help_click,stage-4,2026-01-01T20:49:11+00:00
event-00187,group-08,5,agent.help_click,stage-5,2026-01-01T20:53:20+00:00
event-00188,group-08,5,stage.submission_save,stage-5,2026-01-01T20:59:36+00:00
event-00189,group-08,5,agent.help_click,stage-5,2026-01-01T21:03:41+00:00
event-00190,group-08,5,stage.submission_save,stage-5,2026-01-01T21:05:48+00:00
event-00191,group-08,6,stage.submission_save,stage-6,2026-01-01T21:11:55+00:00
event-00192,group-08,6,stage.submission_save,stage-6,2026-01-01T21:16:23+00:00
event-00193,group-08,6,stage.submission_save,stage-6,2026-01-01T21:20:03+00:00
event-00194,group-08,6,agent.help_click,stage-6,2026-01-01T21:22:40+00:00
event-00195,group-09,0,stage.submission_save,stage-0,2026-01-01T21:26:46+00:00
event-00196,group-09,0,stage.submission_save,stage-0,2026-01-01T21:31:11+00:00
event-00197,group-09,0,agent.help_click,stage-0,2026-01-01T21:35:56+00:00
event-00198,group-09,0,agent.help_click,stage-0,2026-01-01T21:37:54+00:00
event-00199,group-09,1,agent.help_click,stage-1,2026-01-01T21:43:24+00:00
event-00200,group-09,1,stage.submission_save,stage-1,2026-01-01T21:44:27+00:00
event-00201,group-09,1,agent.help_click,stage-1,2026-01-01T21:45:49+00:00
event-00202,group-09,2,stage.submission_save,stage-2,2026-01-01T21:50:12+00:00
event-00203,group-09,2,stage.submission_save,stage-2,2026-01-01T21:53:31+00:00
event-00204,group-09,2,agent.help_click,stage-2,2026-01-01T21:57:51+00:00
event-00205,group-09,3,agent.help_click,stage-3,2026-01-01T22:03:21+00:00
event-00206,group-09,3,stage.submission_save,stage-3,2026-01-01T22:07:49+00:00
event-00207,group-09,3,agent.help_click,stage-3,2026-01-01T22:12:44+00:00
event-00208,group-09,4,agent.help_click,stage-4,2026-01-01T22:18:42+00:00
event-00209,group-09,4,stage.submission_save,stage-4,2026-01-01T22:22:08+00:00
event-00210,group-09,4,agent.help_click,stage-4,2026-01-01T22:25:33+00:00
event-00211,group-09,5,stage.submission_save,stage-5,2026-01-01T22:29:39+00:00
event-00212,group-09,5,stage.submission_save,stage-5,2026-01-01T22:34:55+00:00
event-00213,group-09,5,stage.submission_save,stage-5,2026-01-01T22:36:18+00:00
event-00214,group-09,6,agent.help_click,stage-6,2026-01-01T22:39:22+00:00
event-00215,group-09,6,agent.help_click,stage-6,2026-01-01T22:42:31+00:00
event-00216,group-09,6,stage.submission_save,stage-6,2026-01-01T22:44:03+00:00
event-00217,group-10,0,agent.help_click,stage-0,2026-01-01T22:46:12+00:00
event-00218,group-10,0,stage.submission_save,stage-0,2026-01-01T22:47:18+00:00
event-00219,group-10,0,stage.submission_save,stage-0,2026-01-01T22:52:07+00:00
event-00220,group-10,0,stage.submission_save,stage-0,2026-01-01T22:53:50+00:00
event-00221,group-10,1,agent.help_click,stage-1,2026-01-01T22:59:32+00:00
event-00222,group-10,1,stage.submission_save,stage-1,2026-01-01T23:01:27+00:00
event-00223,group-10,1,agent.help_click,stage-1,2026-01-01T23:05:56+00:00
event-00224,group-10,2,stage.submission_save,stage-2,2026-01-01T23:11:03+00:00
event-00225,group-10,2,stage.submission_save,stage-2,2026-01-01T23:13:46+00:00
event-00226,group-10,2,agent.help_click,stage-2,2026-01-01T23:19:02+00:00
event-00227,group-10,3,stage.submission_save,stage-3,2026-01-01T23:24:37+00:00
event-00228,group-10,3,agent.help_click,stage-3,2026-01-01T23:30:43+00:00
event-00229,group-10,3,stage.submission_save,stage-3,2026-01-01T23:36:45+00:00
event-00230,group-10,4,stage.submission_save,stage-4,2026-01-01T23:40:56+00:00
event-00231,group-10,4,stage.submission_save,stage-4,2026-01-01T23:45:07+00:00
event-00232,group-10,4,agent.help_click,stage-4,2026-01-01T23:47:01+00:00
event-00233,group-10,5,stage.submission_save,stage-5,2026-01-01T23:48:06+00:00
event-00234,group-10,5,agent.help_click,stage-5,2026-01-01T23:51:31+00:00
event-00235,group-10,5,stage.submission_save,stage-5,2026-01-01T23:55:39+00:00
event-00236,group-10,6,stage.submission_save,stage-6,2026-01-02T00:01:14+00:00
event-00237,group-10,6,agent.help_click,stage-6,2026-01-02T00:03:44+00:00
event-00238,group-10,6,agent.help_click,stage-6,2026-01-02T00:05:12+00:00
event-00239,group-11,0,agent.help_click,stage-0,2026-01-02T00:10:14+00:00
event-00240,group-11,1,stage.submission_save,stage-1,2026-01-02T00:16:08+00:00
event-00241,group-11,3,stage.submission_save,stage-3,2026-01-02T00:20:32+00:00
event-00242,group-11,5,stage.submission_save,stage-5,2026-01-02T00:25:38+00:00
event-00243,group-12,0,stage.submission_save,stage-0,2026-01-02T00:28:05+00:00
event-00244,group-12,1,stage.submission_save,stage-1,2026-01-02T00:30:42+00:00
event-00245,group-12,3,stage.submission_save,stage-3,2026-01-02T00:36:39+00:00
event-00246,group-12,5,stage.submission_save,stage-5,2026-01-02T00:39:30+00:00
